ID,Labs_ID,StartTime,EndTime,Reason
1,1,2016-03-12T00:00:00Z,2016-03-12T00:00:00Z,Lab will remain closed on weekends
2,1,2016-03-13T00:00:00Z,2016-03-13T00:00:00Z,Lab will remain closed on weekends
3,1,2016-03-14T09:00:00Z,2016-03-14T20:00:00Z,NA
4,2,2016-03-12T00:00:00Z,2016-03-12T00:00:00Z,Lab will remain closed on weekends
5,2,2016-03-13T00:00:00Z,2016-03-13T00:00:00Z,Lab will remain closed on weekends
6,2,2016-03-14T07:30:00Z,2016-03-14T17:00:00Z,NA
7,3,2016-03-12T11:00:00Z,2016-03-12T17:45:00Z,NA
8,3,2016-03-13T13:00:00Z,2016-03-13T22:45:00Z,NA
9,3,2016-03-14T07:30:00Z,2016-03-14T22:45:00Z,NA
